Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0003,771,771,10.8898,10.8898
2,26.0951,1177,406,16.6243,5.7345
3,49.4010,1577,400,22.2740,5.6497
4,71.2121,2119,542,29.9294,7.6554
5,91.5585,2388,269,33.7288,3.7994
6,109.6571,2834,446,40.0282,6.2994
7,126.9010,3178,344,44.8870,4.8588
8,142.4887,3250,72,45.9040,1.0169
9,156.9166,3435,185,48.5169,2.6130
10,171.0602,3505,70,49.5056,0.9887
11,184.5013,3514,9,49.6328,0.1271
12,197.7216,3763,249,53.1497,3.5169
13,210.7694,3838,75,54.2090,1.0593
14,222.9804,3922,84,55.3955,1.1864
15,234.7692,3949,27,55.7768,0.3814
16,246.4130,3996,47,56.4407,0.6638
17,258.1655,4000,4,56.4972,0.0565
18,269.5512,4099,99,57.8955,1.3983
19,280.8597,4143,44,58.5169,0.6215
20,291.8995,4229,86,59.7316,1.2147
21,302.6942,4255,26,60.0989,0.3672
22,313.1279,4310,55,60.8757,0.7768
23,323.4817,4408,98,62.2599,1.3842
24,333.6437,4421,13,62.4435,0.1836
25,343.4741,4421,0,62.4435,0.0000
26,353.2501,4497,76,63.5169,1.0734
27,362.9601,4527,30,63.9407,0.4237
28,372.3415,4698,171,66.3559,2.4153
29,381.6296,4723,25,66.7090,0.3531
30,390.3501,4861,138,68.6582,1.9492
31,398.9614,4888,27,69.0395,0.3814
32,407.1476,4921,33,69.5056,0.4661
33,415.1940,4930,9,69.6328,0.1271
34,423.1121,4964,34,70.1130,0.4802
35,431.0192,4964,0,70.1130,0.0000
36,438.7940,4997,33,70.5791,0.4661
37,446.6087,5001,4,70.6356,0.0565
38,454.2361,5004,3,70.6780,0.0424
39,461.8503,5006,2,70.7062,0.0282
40,469.4267,5016,10,70.8475,0.1412
41,476.9660,5053,37,71.3701,0.5226
42,484.4906,5091,38,71.9068,0.5367
43,491.8504,5129,38,72.4435,0.5367
44,499.1018,5134,5,72.5141,0.0706
45,506.2268,5261,127,74.3079,1.7938
46,513.3510,5324,63,75.1977,0.8898
47,520.0023,5344,20,75.4802,0.2825
48,526.4547,5365,21,75.7768,0.2966
49,532.8359,5395,30,76.2006,0.4237
50,539.1530,5400,5,76.2712,0.0706
51,545.3344,5433,33,76.7373,0.4661
52,551.4196,5433,0,76.7373,0.0000
53,557.4614,5447,14,76.9350,0.1977
54,563.5035,5461,14,77.1328,0.1977
55,569.4768,5467,6,77.2175,0.0847
56,575.4656,5506,39,77.7684,0.5508
57,581.4204,5508,2,77.7966,0.0282
58,587.1739,5554,46,78.4463,0.6497
59,592.9243,5554,0,78.4463,0.0000
60,598.5477,5586,32,78.8983,0.4520
61,604.2330,5588,2,78.9266,0.0282
62,609.8038,5591,3,78.9689,0.0424
63,615.3217,5591,0,78.9689,0.0000
64,620.8460,5601,10,79.1102,0.1412
65,626.3282,5632,31,79.5480,0.4379
66,631.7813,5632,0,79.5480,0.0000
