Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0002,83,83,9.6065,9.6065
2,0.3286,134,51,15.5093,5.9028
3,0.6299,178,44,20.6019,5.0926
4,0.9120,228,50,26.3889,5.7870
5,1.1921,299,71,34.6065,8.2176
6,1.4483,313,14,36.2269,1.6204
7,1.6837,380,67,43.9815,7.7546
8,1.9200,398,18,46.0648,2.0833
9,2.1237,416,18,48.1481,2.0833
10,2.3182,426,10,49.3056,1.1574
11,2.5090,476,50,55.0926,5.7870
12,2.6913,492,16,56.9444,1.8519
13,2.8595,525,33,60.7639,3.8194
14,3.0142,532,7,61.5741,0.8102
15,3.1562,554,22,64.1204,2.5463
16,3.2925,568,14,65.7407,1.6204
17,3.4225,578,10,66.8981,1.1574
18,3.5462,579,1,67.0139,0.1157
19,3.6654,588,9,68.0556,1.0417
20,3.7810,588,0,68.0556,0.0000
21,3.8934,596,8,68.9815,0.9259
22,4.0061,606,10,70.1389,1.1574
23,4.1187,626,20,72.4537,2.3148
24,4.2317,627,1,72.5694,0.1157
25,4.3330,635,8,73.4954,0.9259
26,4.4324,636,1,73.6111,0.1157
27,4.5299,640,4,74.0741,0.4630
28,4.6245,663,23,76.7361,2.6620
29,4.7204,663,0,76.7361,0.0000
30,4.8085,667,4,77.1991,0.4630
31,4.8982,683,16,79.0509,1.8519
32,4.9846,685,2,79.2824,0.2315
33,5.0698,703,18,81.3657,2.0833
34,5.1501,703,0,81.3657,0.0000
35,5.2278,703,0,81.3657,0.0000
36,5.3054,712,9,82.4074,1.0417
37,5.3805,712,0,82.4074,0.0000
38,5.4541,712,0,82.4074,0.0000
39,5.5268,712,0,82.4074,0.0000
40,5.5993,712,0,82.4074,0.0000
41,5.6717,718,6,83.1019,0.6944
42,5.7457,718,0,83.1019,0.0000
43,5.8167,718,0,83.1019,0.0000
44,5.8868,718,0,83.1019,0.0000
45,5.9574,718,0,83.1019,0.0000
46,6.0308,722,4,83.5648,0.4630
47,6.1036,722,0,83.5648,0.0000
48,6.1721,722,0,83.5648,0.0000
49,6.2409,728,6,84.2593,0.6944
50,6.3096,733,5,84.8380,0.5787
51,6.3773,734,1,84.9537,0.1157
52,6.4506,735,1,85.0694,0.1157
53,6.5140,735,0,85.0694,0.0000
54,6.5831,735,0,85.0694,0.0000
55,6.6468,735,0,85.0694,0.0000
56,6.7112,735,0,85.0694,0.0000
57,6.7738,736,1,85.1852,0.1157
58,6.8403,740,4,85.6481,0.4630
59,6.9054,741,1,85.7639,0.1157
60,6.9650,742,1,85.8796,0.1157
61,7.0264,751,9,86.9213,1.0417
62,7.0849,751,0,86.9213,0.0000
63,7.1418,751,0,86.9213,0.0000
64,7.2015,753,2,87.1528,0.2315
65,7.2577,754,1,87.2685,0.1157
66,7.3133,754,0,87.2685,0.0000
67,7.3684,760,6,87.9630,0.6944
68,7.4231,762,2,88.1944,0.2315
69,7.4745,762,0,88.1944,0.0000
70,7.5244,764,2,88.4259,0.2315
71,7.5739,764,0,88.4259,0.0000
72,7.6224,765,1,88.5417,0.1157
73,7.6704,765,0,88.5417,0.0000
74,7.7194,765,0,88.5417,0.0000
