Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0002,99,99,11.4583,11.4583
2,0.3517,238,139,27.5463,16.0880
3,0.6950,271,33,31.3657,3.8194
4,0.9685,331,60,38.3102,6.9444
5,1.2662,386,55,44.6759,6.3657
6,1.5145,421,35,48.7269,4.0509
7,1.7235,436,15,50.4630,1.7361
8,1.9473,470,34,54.3981,3.9352
9,2.1587,485,15,56.1343,1.7361
10,2.5180,508,23,58.7963,2.6620
11,2.8004,529,21,61.2269,2.4306
12,2.9661,547,18,63.3102,2.0833
13,3.1732,579,32,67.0139,3.7037
14,3.3555,611,32,70.7176,3.7037
15,3.5377,640,29,74.0741,3.3565
16,3.7064,680,40,78.7037,4.6296
17,3.8340,682,2,78.9352,0.2315
18,3.9490,694,12,80.3241,1.3889
19,4.0741,694,0,80.3241,0.0000
20,4.2709,701,7,81.1343,0.8102
21,4.3861,727,26,84.1435,3.0093
22,4.4737,730,3,84.4907,0.3472
23,4.7219,731,1,84.6065,0.1157
24,4.8052,739,8,85.5324,0.9259
25,4.8836,765,26,88.5417,3.0093
26,4.9765,770,5,89.1204,0.5787
27,5.0601,772,2,89.3519,0.2315
28,5.1500,781,9,90.3935,1.0417
29,5.2320,787,6,91.0880,0.6944
30,5.3350,789,2,91.3194,0.2315
31,5.4276,790,1,91.4352,0.1157
32,5.5155,794,4,91.8981,0.4630
33,5.5841,795,1,92.0139,0.1157
34,5.6926,803,8,92.9398,0.9259
35,5.7918,815,12,94.3287,1.3889
36,5.8889,816,1,94.4444,0.1157
37,5.9655,818,2,94.6759,0.2315
38,6.0158,819,1,94.7917,0.1157
39,6.0772,821,2,95.0231,0.2315
