Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0009,9,9,26.4706,26.4706
2,0.0012,14,5,41.1765,14.7059
3,0.0013,14,0,41.1765,0.0000
4,0.0015,16,2,47.0588,5.8824
5,0.0017,17,1,50.0000,2.9412
6,0.0018,18,1,52.9412,2.9412
7,0.0019,18,0,52.9412,0.0000
8,0.0021,23,5,67.6471,14.7059
9,0.0022,29,6,85.2941,17.6471
10,0.0022,29,0,85.2941,0.0000
11,0.0023,29,0,85.2941,0.0000
12,0.0023,29,0,85.2941,0.0000
13,0.0024,29,0,85.2941,0.0000
14,0.0024,29,0,85.2941,0.0000
15,0.0025,30,1,88.2353,2.9412
16,0.0025,30,0,88.2353,0.0000
17,0.0026,31,1,91.1765,2.9412
18,0.0027,31,0,91.1765,0.0000
19,0.0027,31,0,91.1765,0.0000
20,0.0027,31,0,91.1765,0.0000
21,0.0028,34,3,100.0000,8.8235
