Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0010,1115,1115,15.7486,15.7486
2,8.9223,1750,635,24.7175,8.9689
3,16.4566,2093,343,29.5621,4.8446
4,23.1441,2398,305,33.8701,4.3079
5,29.3894,2569,171,36.2853,2.4153
6,35.2171,2807,238,39.6469,3.3616
7,40.8908,3047,240,43.0367,3.3898
8,46.4286,3168,121,44.7458,1.7090
9,52.9493,3226,58,45.5650,0.8192
10,61.3112,3272,46,46.2147,0.6497
11,69.0478,3294,22,46.5254,0.3107
12,76.7907,3490,196,49.2938,2.7684
13,84.4479,3594,104,50.7627,1.4689
14,91.8822,3647,53,51.5113,0.7486
15,99.1458,3669,22,51.8220,0.3107
16,106.3970,3686,17,52.0621,0.2401
17,113.4455,3819,133,53.9407,1.8785
18,120.3476,3826,7,54.0395,0.0989
19,127.0078,3921,95,55.3814,1.3418
20,133.5217,3952,31,55.8192,0.4379
21,140.0119,3969,17,56.0593,0.2401
22,146.2004,4085,116,57.6977,1.6384
23,152.3461,4215,130,59.5339,1.8362
24,158.3400,4229,14,59.7316,0.1977
25,163.9984,4251,22,60.0424,0.3107
26,169.7764,4291,40,60.6073,0.5650
27,175.5598,4291,0,60.6073,0.0000
28,181.1955,4311,20,60.8898,0.2825
29,187.0225,4371,60,61.7373,0.8475
30,190.8374,4390,19,62.0056,0.2684
31,194.2082,4409,19,62.2740,0.2684
32,197.6031,4416,7,62.3729,0.0989
33,200.9709,4426,10,62.5141,0.1412
34,204.3703,4515,89,63.7712,1.2571
35,207.7648,4593,78,64.8729,1.1017
36,211.0077,4639,46,65.5226,0.6497
37,214.0888,4639,0,65.5226,0.0000
38,217.2206,4647,8,65.6356,0.1130
39,220.3865,4651,4,65.6921,0.0565
40,223.4500,4654,3,65.7345,0.0424
41,226.4514,4654,0,65.7345,0.0000
42,229.5011,4861,207,68.6582,2.9237
43,232.6147,4861,0,68.6582,0.0000
44,235.4035,4876,15,68.8701,0.2119
45,238.2371,4904,28,69.2655,0.3955
46,241.0118,4951,47,69.9294,0.6638
47,243.7718,4952,1,69.9435,0.0141
48,246.4527,4957,5,70.0141,0.0706
49,249.1313,4957,0,70.0141,0.0000
50,251.7665,4993,36,70.5226,0.5085
51,254.4616,5020,27,70.9040,0.3814
52,257.0348,5027,7,71.0028,0.0989
53,259.6144,5027,0,71.0028,0.0000
54,262.2718,5098,71,72.0056,1.0028
55,264.8199,5099,1,72.0198,0.0141
56,267.2967,5099,0,72.0198,0.0000
57,269.8175,5099,0,72.0198,0.0000
58,272.3527,5147,48,72.6977,0.6780
59,274.9514,5147,0,72.6977,0.0000
60,277.7513,5147,0,72.6977,0.0000
61,281.6881,5171,24,73.0367,0.3390
62,285.5272,5244,73,74.0678,1.0311
63,289.4290,5307,63,74.9576,0.8898
64,293.2132,5377,70,75.9463,0.9887
65,296.8508,5390,13,76.1299,0.1836
66,300.4221,5420,30,76.5537,0.4237
67,303.8638,5420,0,76.5537,0.0000
68,307.2593,5422,2,76.5819,0.0282
69,310.7139,5422,0,76.5819,0.0000
70,314.2318,5433,11,76.7373,0.1554
71,317.6732,5473,40,77.3023,0.5650
72,321.2780,5508,35,77.7966,0.4944
73,324.8645,5508,0,77.7966,0.0000
74,328.4710,5519,11,77.9520,0.1554
75,331.7344,5531,12,78.1215,0.1695
76,335.0166,5543,12,78.2910,0.1695
77,338.3383,5543,0,78.2910,0.0000
78,341.7080,5547,4,78.3475,0.0565
79,344.9952,5583,36,78.8559,0.5085
80,348.2632,5583,0,78.8559,0.0000
81,351.3786,5586,3,78.8983,0.0424
